application,mof_id,precursor,true_label,predicted_label,probability,error_type,likely_cause,deployment_model
co2_capture,212,O1O[Na]21OO2.[O-]C(=O)c1cc(nc2c1cccc2)c1nc2ccccc2c(c1)C(=O)[O-].[U],0,1,0.3726334966358477,false_positive,unusual_metal,random_forest
co2_capture,2053,[Cr].[Mn].[O-]C(=O)C(=O)[O-],0,1,0.24959492065219246,false_positive,unexplained,random_forest
co2_capture,3011,[Zn].n1ccc(cc1)c1nnc(s1)c1ccncc1,1,0,0.20742221931778043,false_negative,unexplained,random_forest
co2_capture,1479,[In].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],0,1,0.230608422487759,false_positive,unusual_metal,random_forest
co2_capture,7565,[Cr].[Mn].[O-]C(=O)C(=O)[O-],0,1,0.24959492065219246,false_positive,unexplained,random_forest
co2_capture,5463,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],0,1,0.32028674227384185,false_positive,unexplained,random_forest
co2_capture,7798,[Cd].[O]c1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c([O])cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-],0,1,0.23651517812340891,false_positive,unexplained,random_forest
co2_capture,4234,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Yb],0,1,0.48145284239570296,false_positive,unusual_metal,random_forest
co2_capture,5904,[O-]C(=O)c1cc(cc(c1)c1ccc(c(c1)O)C(=O)[O-])C(=O)[O-].[Tb],0,1,0.6573432169686582,false_positive,unexplained,random_forest
co2_capture,6604,[Cu].[Gd].[O-]C(=O)C1=N[C]=C([C]=[C]1)C(=O)[O-].[O-]C(=O)C1=[C][C]=C([C]=N1)C(=O)[O-],0,1,0.2739590280132701,false_positive,multiple_linker_fragments,random_forest
co2_capture,7352,O=C(c1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1)Nc1cccnc1.[Co].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1N)N)C(=O)[O-].[O-]C=O,0,1,0.33354753831547906,false_positive,out_of_domain_linker_size,random_forest
co2_capture,5336,[In].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.2774590652696142,false_positive,unusual_metal,random_forest
co2_capture,2114,[Eu].[O-]C(=O)C(=O)[O-],0,1,0.3735396397855842,false_positive,unexplained,random_forest
co2_capture,3907,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O].[V],0,1,0.23413306176954296,false_positive,unusual_metal,random_forest
co2_capture,4857,[Cu].[Er].[O-]C(=O)C1=N[C]=C([C]=[C]1)C(=O)[O-].[O-]C(=O)C1=[C][C]=C([C]=N1)C(=O)[O-],0,1,0.2440251711193879,false_positive,multiple_linker_fragments,random_forest
co2_capture,2006,[Ag].[Dy].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1cccnc1.[O-]C(=O)c1ccncc1,0,1,0.3587857772951466,false_positive,unusual_metal,random_forest
co2_capture,1033,[Na].[Na][OH2][Na].[O-]C(=O)C.[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C(=O)[O-],0,1,0.38392896116186587,false_positive,unusual_metal,random_forest
co2_capture,757,[Cd].[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-].[O-]C(=O)C1CCC(C1(C)[C])(C)C(=O)[O-].n1ccc(cc1)c1nc(c([nH]1)c1ccncc1)c1ccncc1,0,1,0.2567918124690041,false_positive,multiple_linker_fragments,random_forest
co2_capture,5212,[Er][Er].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],0,1,0.45337389381092913,false_positive,unusual_metal,random_forest
co2_capture,3219,[Li].[O-]C(=O)c1c(N)c(N)c(c(c1N)N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1N)N)C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,0,1,0.33238067853746883,false_positive,unusual_metal,random_forest
co2_capture,5313,[Cd].[O-]C(=O)c1cccc(c1)c1cncc(c1)c1cccc(c1)C(=O)[O-],0,1,0.33958509032155715,false_positive,unexplained,random_forest
co2_capture,3365,O=C=O.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C=O.[Tm],0,1,0.5095279925396587,false_positive,unusual_metal,random_forest
co2_capture,4375,[Er].[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.6220992966660307,false_positive,unusual_metal,random_forest
co2_capture,3047,[Co][OH]1[Co][OH]([Co]1)[Co].[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.2836008750068009,false_positive,unexplained,random_forest
co2_capture,4775,[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],0,1,0.30141083818861025,false_positive,unexplained,random_forest
co2_capture,6493,Cc1c(cc(c(c1c1c([O])c(cc(c1C)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(C)(C)C)[O])C(C)(C)C)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Mn],0,1,0.47245049584809923,false_positive,unexplained,random_forest
co2_capture,3641,O1[La]2[La]1O2.[La].[O-]C(=O)C(=O)[O-].[O]N(=O)=O,0,1,0.3146446303519196,false_positive,unexplained,random_forest
co2_capture,2590,[Co].[O-]C(=O)c1cc(OCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],0,1,0.36751559974209325,false_positive,unexplained,random_forest
co2_capture,6091,[Cr].[Mn].[O-]C(=O)C(=O)[O-],0,1,0.24959492065219246,false_positive,unexplained,random_forest
co2_capture,4413,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.C(Cn1ncnc1)CCn1ncnc1.[Co],1,0,0.16130329766904036,false_negative,multiple_linker_fragments,random_forest
co2_capture,3681,C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCN1[N]C=N[CH]1)CCCN1[N]C=N[CH]1.[Cu],0,1,0.2707701675332353,false_positive,multiple_linker_fragments,random_forest
co2_capture,2676,[Nd].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.6078608150655782,false_positive,unexplained,random_forest
co2_capture,5562,[Gd].[O-]C(=O)c1ccc(cc1O)c1ccc(c(c1)[O])C(=O)[O-],0,1,0.5041669046100985,false_positive,unexplained,random_forest
co2_capture,5307,[O-]C(=O)c1cc(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],0,1,0.2916824411279266,false_positive,unexplained,random_forest
co2_capture,2632,[K].[La].[O-]C(=O)C(=O)[O-],0,1,0.30455314427303165,false_positive,unusual_metal,random_forest
co2_capture,5331,N#C[C](C(=C(C#N)C#N)C#N)C#N.[Cr],0,1,0.2578253121898815,false_positive,unusual_metal,random_forest
co2_capture,325,[Co].[O-]C(=O)C=CC=CC(=O)[O-].n1ccc(cc1)CCc1ccncc1,1,0,0.10998921905030654,false_negative,multiple_linker_fragments,random_forest
co2_capture,1104,[Dy].[O-]C(=O)C(=O)[O-],0,1,0.3144961293038847,false_positive,unusual_metal,random_forest
co2_capture,1112,[Mg].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)O,0,1,0.4974599764406699,false_positive,unexplained,random_forest
co2_capture,5211,[Ho][Ho].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],0,1,0.4838337982100909,false_positive,unusual_metal,random_forest
co2_capture,6104,[Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.7435639798645546,false_positive,unexplained,random_forest
co2_capture,511,[Mn].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)O,0,1,0.25547429612031164,false_positive,unexplained,random_forest
co2_capture,2246,[O-]C(=O)C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Sm],0,1,0.7171052092152149,false_positive,unusual_metal,random_forest
co2_capture,5908,[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[O-]C(=O)c1cc(OC[C]2[C][C]2)cc(c1)C(=O)[O-].[Zn],0,1,0.2873405296857945,false_positive,multiple_linker_fragments,random_forest
co2_capture,1669,[Nd].[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],0,1,0.42478287727853964,false_positive,unexplained,random_forest
co2_capture,6063,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1.[Zn],1,0,0.14273954059818403,false_negative,unexplained,random_forest
co2_capture,6271,CC(P(=O)([O])[O])(P(=O)([O])[O])O.[Eu].[Eu]1OO1.[O].[O][As]([O])[O].[W],0,1,0.28190720285518067,false_positive,unexplained,random_forest
co2_capture,4236,[Er][Er].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.48076292541653015,false_positive,unusual_metal,random_forest
co2_capture,6178,[Mn].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)[O],0,1,0.25547429612031164,false_positive,unexplained,random_forest
co2_capture,512,[Mn].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)O.[O]P(=O)(O)[O].[O]P(=O)([O])O,0,1,0.25547429612031164,false_positive,unexplained,random_forest
co2_capture,7285,[Cu].[O-]C(=O)C1=C(C)[N]N=C1C.[O-]C(=O)[C]1C(=NN=C1C)C,1,0,0.1439397613897296,false_negative,multiple_linker_fragments,random_forest
co2_capture,6419,[Ag]1[Ag][Ag][Ag][Ag][Ag][Ag]1.[O-]C(=O)C(F)(F)F.n1ccc(cn1)c1ccnnc1,1,0,0.14739283083455154,false_negative,multiple_linker_fragments,random_forest
co2_capture,1990,[Cd].[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],0,1,0.2247212677948545,false_positive,unexplained,random_forest
co2_capture,7150,[O-]C(=O)C1=NN=N[N]1.[O-]C(=O)C1=N[N]N=N1.[Sr]1[OH2][Sr][OH2]1,0,1,0.5185189619124323,false_positive,unusual_metal,random_forest
co2_capture,4582,[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O].[Sm],0,1,0.31947515685347044,false_positive,unusual_metal,random_forest
co2_capture,6676,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V],0,1,0.4142720248608921,false_positive,unusual_metal,random_forest
co2_capture,3262,N#C[C](C(=C(C#N)C#N)C#N)C#N.[Fe],0,1,0.2340444092533566,false_positive,unexplained,random_forest
co2_capture,5327,[Co][OH]([Co][OH]([Co])[Co])[Co].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].c1ccc(cn1)[CH][N][N][CH]c1cccnc1,1,0,0.15995991855321265,false_negative,multiple_linker_fragments,random_forest
co2_capture,6476,[Fe].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)[O].[O]P(=O)([O])O,0,1,0.2241686451437266,false_positive,unexplained,random_forest
co2_capture,1674,F[Ga].O1O[Mn]21OO2.[Ga].[O-]C(=O)C(=O)[O-].[O]P(=O)([O])[O],0,1,0.3000693503507557,false_positive,unusual_metal,random_forest
co2_capture,7797,[Cr].[Mn].[O-]C(=O)C(=O)[O-],0,1,0.24959492065219246,false_positive,unexplained,random_forest
co2_capture,3634,[O-]C(=O)c1cccc(c1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1cccc(c1)C(=O)[O-])C=C3)c1cccc(c1)C(=O)[O-])[nH]2)c1cccc(c1)C(=O)[O-].[O-]C=O.[Pr],0,1,0.37992760892938043,false_positive,unusual_metal,random_forest
co2_capture,1062,[Co].[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[O-]C=O,0,1,0.2723722743394365,false_positive,multiple_linker_fragments,random_forest
co2_capture,2003,[Ag].[Eu].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1cccnc1.[O-]C(=O)c1ccncc1,0,1,0.3730710483475964,false_positive,multiple_linker_fragments,random_forest
co2_capture,5340,[In].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.2774590652696142,false_positive,unusual_metal,random_forest
co2_capture,1389,[O-]C(=O)C(=O)[O-].[Sm],0,1,0.40145695534604514,false_positive,unusual_metal,random_forest
co2_capture,1508,[La].[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O],0,1,0.2991037282820418,false_positive,out_of_domain_linker_size,random_forest
co2_capture,4296,[Cd].[O-]C(=O)C=Cc1c(F)cncc1F.[O-]C(=O)C=Cc1ccncc1F,0,1,0.3445179786468708,false_positive,multiple_linker_fragments,random_forest
co2_capture,2312,[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-].[Tb],0,1,0.5446768500282394,false_positive,unexplained,random_forest
co2_capture,568,OC1C(O)C(OC1N1[CH]Nc2c1nc(N)[nH]c2=O)COP(=O)([O])[O].[Na].[Na]O[Na]O[Mo]1O[Mo]O[Mo]O[Mo]O[Mo](O1)O[Na]O[Na],0,1,0.26803524112285537,false_positive,unusual_metal,random_forest
co2_capture,3745,[Zn].n1ncn(c1)[N][N]n1cnnc1,0,1,0.2275195638523831,false_positive,unexplained,random_forest
co2_capture,4640,[In].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1,0.2774590652696142,false_positive,unusual_metal,random_forest
co2_capture,2684,[Cd].[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.32970176570252946,false_positive,unexplained,random_forest
co2_capture,2311,[Gd].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-],0,1,0.44874290498222397,false_positive,unexplained,random_forest
co2_capture,7028,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],0,1,0.25394903141146175,false_positive,unexplained,random_forest
co2_capture,6720,[Gd].[O-]C(=O)c1cc(N(=O)=O)c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)[O-])N(=O)=O,0,1,0.5601399349426178,false_positive,unexplained,random_forest
co2_capture,4808,[Co].[O-]C(=O)C1=C([O])[C]=C(C(=C1)[O])C(=O)[O-].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[O]C(c1cc([O])c(cc1[O])C(=O)[O-])[O],0,1,0.3153000135989393,false_positive,multiple_linker_fragments,random_forest
co2_capture,703,N1=NN=C([N]1)c1ccc(cc1)[Si](c1ccc(cc1)C1=NN=N[N]1)(c1ccc(cc1)C1=NN=N[N]1)c1ccc(cc1)C1=NN=N[N]1.[Mn],0,1,0.29869095087255515,false_positive,unexplained,random_forest
co2_capture,5277,CC1=N[C](C=N1)[CH][N][N]C=C1C=NC(=N1)C.[Cd],0,1,0.2656338993753616,false_positive,unexplained,random_forest
co2_capture,6077,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-],0,1,0.23592600015872497,false_positive,unexplained,random_forest
co2_capture,6883,[Dy].[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O],0,1,0.27004722896564265,false_positive,unusual_metal,random_forest
co2_capture,758,[Co].[O-]C(=O)C(=O)[O-],0,1,0.23260133805183308,false_positive,unexplained,random_forest
co2_capture,5349,O=C(Nc1ccncc1)Nc1ccncc1.[Zn],0,1,0.2561262664735847,false_positive,unexplained,random_forest
co2_capture,1648,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],0,1,0.30695229382755257,false_positive,unexplained,random_forest
co2_capture,1504,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V],0,1,0.4142720248608921,false_positive,unusual_metal,random_forest
co2_capture,3197,[Cu].[Cu]Br.[O-]C(=O)C(C(=O)[O-])(O)[O].[O-]C(=O)C(C(=O)[O-])([O])O.[Zn],0,1,0.2615051239340398,false_positive,multiple_linker_fragments,random_forest
co2_capture,7106,[Ba]1[OH2][Ba][OH2]1.[O-]C(=O)C(=O)[O-].[V]O[Ba]O[V],0,1,0.3548740009479232,false_positive,unusual_metal,random_forest
co2_capture,4968,[Cd].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1,0.31705497563508805,false_positive,unexplained,random_forest
co2_capture,3827,[O-]C(=O)c1ccc(cc1C(F)(F)F)c1ccc(c(c1)C(F)(F)F)C(=O)[O-].[Zn],0,1,0.22749567498535614,false_positive,unexplained,random_forest
co2_capture,1794,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]C(c1ccccc1)C(=O)[O-].[Zn],1,0,0.16146423611002234,false_negative,multiple_linker_fragments,random_forest
co2_capture,7764,[Cd].[O-]C(=O)C1=C[C]=C2C(=C1)[C]=CC(=C2)C(=O)[O-].[O-]C(=O)C1=[C][C]=C2C(=C1)[C]=[C]C(=C2)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)SSc1ccncc1,0,1,0.2635068827495705,false_positive,out_of_domain_linker_size,random_forest
co2_capture,800,O=C1N(c2ccncc2)C(=O)c2c1cc(cc2)C(=O)[O-].[Cd],0,1,0.2864508569300552,false_positive,unexplained,random_forest
co2_capture,6715,[Gd].[O-]C(=O)c1cc(N(=O)=O)c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)[O-])N(=O)=O,0,1,0.5601399349426178,false_positive,unexplained,random_forest
co2_capture,3574,[Fe].[O-]C(=O)C(=O)[O-].[O]P(=O)(O)[O].[O]P(=O)([O])O,0,1,0.2241686451437266,false_positive,unexplained,random_forest
co2_capture,4933,C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCN1[N]C=N[CH]1)CCCN1[N]C=N[CH]1.[Cu],0,1,0.2707701675332353,false_positive,multiple_linker_fragments,random_forest
co2_capture,1195,[O-]C(=O)C(=O)[O-].[Y],0,1,0.3732935305202896,false_positive,unusual_metal,random_forest
co2_capture,7858,[O-]C(=O)c1ccc(cc1)CN1CCN(CCN(CC1)Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-].[Zn],1,0,0.17603790304045408,false_negative,unexplained,random_forest
co2_capture,3674,O=C1[C](Cl)C(=O)C(=O)C(=C1[O])Cl.[Y],0,1,0.2916287322309844,false_positive,unusual_metal,random_forest
co2_capture,5443,[Fe].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH],0,1,0.29377583655342004,false_positive,unexplained,random_forest
